City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kapaa,US,2022-04-16 12:26:27,22.0752,-159.319,73.72,85,40,18.41
68,Airai,TL,2022-04-16 12:26:28,-8.9266,125.4092,61.84,96,97,2.01
69,Wajima,JP,2022-04-16 12:26:28,37.4,136.9,47.5,56,2,3.2
70,Carnarvon,AU,2022-04-16 12:26:28,-24.8667,113.6333,78.87,73,69,12.66
71,Barrow,US,2022-04-16 12:24:41,71.2906,-156.7887,-0.38,71,0,21.85
72,Ancud,CL,2022-04-16 12:26:29,-41.8697,-73.8203,49.33,95,10,4.7
73,Pimentel,PE,2022-04-16 12:26:29,-6.8367,-79.9342,62.89,88,100,11.5
74,Aksu,CN,2022-04-16 12:26:30,41.1231,80.2644,64.35,10,15,9.57
75,Cockburn Town,TC,2022-04-16 12:26:30,21.4612,-71.1419,76.96,73,75,17.27
76,Pandan,PH,2022-04-16 12:26:30,14.0453,124.1694,78.98,78,73,5.3
77,Souillac,MU,2022-04-16 12:26:31,-20.5167,57.5167,82.78,65,40,13.8
78,Tahta,EG,2022-04-16 12:26:31,26.7693,31.5021,99.23,6,0,7.67
79,Okakarara,NA,2022-04-16 12:26:31,-20.5833,17.4333,85.69,22,7,5.1
80,Turayf,SA,2022-04-16 12:26:32,31.6725,38.6637,80.85,12,20,8.05
81,Tiksi,RU,2022-04-16 12:26:32,71.6872,128.8694,-7.78,100,74,4.21
82,Nabire,ID,2022-04-16 12:25:06,-3.3667,135.4833,78.22,90,100,1.92
83,Kalmunai,LK,2022-04-16 12:26:32,7.4167,81.8167,84.36,76,64,14.58
84,Mandera,KE,2022-04-16 12:26:33,3.9366,41.867,95.68,35,71,7.05
85,Nikolskoye,RU,2022-04-16 12:26:33,59.7035,30.7861,42.69,56,12,9.89
86,Moche,PE,2022-04-16 12:26:33,-8.1711,-79.0092,60.98,100,100,8.05
87,Roseburg,US,2022-04-16 12:23:32,43.2165,-123.3417,41.38,86,100,1.01
88,Lavrentiya,RU,2022-04-16 12:26:34,65.5833,-171.0,24.66,96,100,12.21
89,Puerto Ayora,EC,2022-04-16 12:26:34,-0.7393,-90.3518,74.25,92,56,4.99
90,Purificacion,CO,2022-04-16 12:26:34,3.8587,-74.9313,75.52,77,95,1.21
91,Ostrovnoy,RU,2022-04-16 12:26:35,68.0531,39.5131,34.12,100,100,12.19
92,Saldanha,ZA,2022-04-16 12:26:35,-33.0117,17.9442,77.05,51,0,17.52
93,Hengyang,CN,2022-04-16 12:26:35,26.8881,112.615,51.01,89,100,6.42
94,Saint George,US,2022-04-16 12:23:33,37.1041,-113.5841,57.79,39,0,1.01
95,Christchurch,NZ,2022-04-16 12:23:51,-43.5333,172.6333,56.95,78,75,4.61
96,Shingu,JP,2022-04-16 12:27:36,33.7333,135.9833,48.7,62,19,8.39
97,Asuncion,PY,2022-04-16 12:26:34,-25.3007,-57.6359,60.24,77,0,4.61
98,Sao Joao Da Barra,BR,2022-04-16 12:27:36,-21.6403,-41.0511,73.49,67,0,10.71
99,Roma,US,2022-04-16 12:27:37,43.2128,-75.4557,42.96,91,100,8.05
100,Nizhniy Ufaley,RU,2022-04-16 12:27:37,55.9153,59.9842,36.1,88,98,10.54
101,Hambantota,LK,2022-04-16 12:27:37,6.1241,81.1185,82.74,94,75,4.61
102,Mehamn,NO,2022-04-16 12:27:38,71.0357,27.8492,37.17,73,97,17.74
103,Los Llanos De Aridane,ES,2022-04-16 12:27:38,28.6585,-17.9182,68.13,76,0,12.66
104,Coihaique,CL,2022-04-16 12:27:38,-45.5752,-72.0662,42.75,87,0,5.75
105,Longyearbyen,SJ,2022-04-16 12:27:39,78.2186,15.6401,28.24,86,100,14.97
106,Torit,SS,2022-04-16 12:27:39,4.4133,32.5678,74.53,77,100,2.06
