City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
277,Ambagarh Chauki,IN,82.6,clear sky,20.7833,80.7167,गाँधी चौक शांति भवन सोनसाय टोला
278,Kathu,TH,78.62,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
279,San-Pedro,CI,76.8,overcast clouds,4.7485,-6.6363,Hotel Maria
282,Samarai,PG,81.91,moderate rain,-10.6167,150.6667,Nuli Sapi
290,Bubaque,GW,75.25,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
293,Bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
297,Parrita,CR,83.75,overcast clouds,9.5201,-84.3225,Beso del Viento
308,Mahibadhoo,MV,84.25,overcast clouds,3.7833,72.9667,Omadhoo Inn
309,Waingapu,ID,79.14,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
311,Bekasi,ID,81.03,overcast clouds,-6.2349,106.9896,ASTON Imperial Bekasi Hotel & Conference Center
314,Sola,VU,81.82,overcast clouds,-13.8833,167.55,Leumerus Bungalows
321,Saint George,US,83.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
323,Kulti,IN,78.73,clear sky,23.7333,86.85,Celebration Banquet Hall
338,Eydhafushi,MV,83.73,overcast clouds,5.1033,73.0708,Soneva Fushi
348,Daru,PG,78.67,overcast clouds,-9.0763,143.2092,Daru Lodge
349,Cukai,MY,78.75,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
354,Meadow Lake,US,77.29,clear sky,34.8014,-106.5436,TumbleWeed RV Park
355,Isangel,VU,80.53,overcast clouds,-19.55,169.2667,Tanna Lodge
363,Beyla,GN,76.46,overcast clouds,8.6833,-8.6333,DIAN SINKO
370,Mogadishu,SO,82.51,light rain,2.0371,45.3438,Hotel Juba
372,Pochutla,MX,89.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
373,Prainha,BR,79.11,overcast clouds,-1.8,-53.48,Casa Rocha
374,Meulaboh,ID,77.74,overcast clouds,4.1363,96.1285,Kost Pria
377,Lompoc,US,75.69,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
380,West Bay,KY,86.07,scattered clouds,19.3667,-81.4167,Calypso Cove
381,Jacareacanga,BR,77.95,broken clouds,-6.2222,-57.7528,Casa do Ian😎
382,Manta,EC,85.78,scattered clouds,-0.95,-80.7333,Balandra Hotel
383,Patancheru,IN,85.06,overcast clouds,17.5314,78.265,Sri Ganapathi Lodge
385,Nabire,ID,75.38,moderate rain,-3.3667,135.4833,Hotel Nusantara I
387,Padang,ID,78.31,heavy intensity rain,-0.9492,100.3543,Mercure Padang
389,Lockhart,US,89.44,broken clouds,28.6194,-81.4426,Courtyard by Marriott Orlando Altamonte Springs/Maitland
392,Nazca,PE,79.18,scattered clouds,-14.8333,-74.95,Casa Andina Standard Nasca
399,Guapo,BR,84.58,overcast clouds,-16.8306,-49.5319,Lar de idosos de Guapó
401,Tay Ninh,VN,80.92,broken clouds,11.3,106.1,Thanh Tuyền Hotel
407,Doctor Juan Leon Mallorquin,PY,80.33,scattered clouds,-25.4,-55.2667,Hotel Puma S.A.
409,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
410,Canon City,US,75.36,clear sky,38.441,-105.2424,Travel Inn Motel
412,North Myrtle Beach,US,78.35,few clouds,33.816,-78.68,Avista Resort
414,Nisia Floresta,BR,77.76,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
416,Tocache,PE,87.06,broken clouds,-8.1842,-76.5125,Residencial JATER
417,Elat,IL,84.78,broken clouds,29.5581,34.9482,Club Hotel Eilat
420,Sarwar,IN,88.32,few clouds,26.0667,75.0,सैनी समाज भवन न.2
424,Ridgecrest,US,81.64,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
427,La Peca,PE,82.63,light rain,-5.6111,-78.435,Hospedaje San Miguelito
428,Galle,LK,81.0,light rain,6.0367,80.217,Amangalla
429,Mataram,ID,77.81,light rain,-8.5833,116.1167,Hotel Santika Mataram
434,Lakatoro,VU,82.38,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
438,Bandarbeyla,SO,81.5,broken clouds,9.4942,50.8122,JABIR HOTEL
445,Moindou,NC,75.36,broken clouds,-21.6924,165.677,Equi-lodge de Moindou
450,Conde,BR,81.86,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
461,Malakal,SS,89.2,broken clouds,9.5334,31.6605,Nile Palace Hotel
464,Tulum,MX,86.72,clear sky,20.2167,-87.4667,Kin Ha Tulum
465,La Asuncion,VE,83.93,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
468,Boueni,YT,78.78,clear sky,-12.9025,45.0761,The feet in water
470,Porbandar,IN,79.77,clear sky,21.6422,69.6093,Lords Inn Porbandar
475,Nizwa,OM,82.67,clear sky,22.9333,57.5333,Orient Apartments
477,Ejura,GH,80.56,overcast clouds,7.3856,-1.3562,Fire Servece
478,Samana,DO,77.65,moderate rain,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
481,Tefe,BR,78.66,overcast clouds,-3.3542,-64.7114,Aracati Hotel
482,Nhamunda,BR,80.85,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
499,Morro Bay,US,77.4,clear sky,35.3658,-120.8499,Inn at Morro Bay
503,Oriximina,BR,80.56,moderate rain,-1.7656,-55.8661,Pousada Tia Amélia
504,Soure,BR,79.54,moderate rain,-0.7167,-48.5233,Casarão da Amazônia
505,Lasalgaon,IN,79.77,clear sky,20.15,74.2333,Dhanraj Hotel
507,Port-Gentil,GA,80.56,thunderstorm,-0.7193,8.7815,Fengshui Residence
511,Olinda,BR,79.81,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
513,Port Blair,IN,81.12,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
515,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
520,Kendari,ID,75.06,light rain,-3.945,122.4989,Hotel Wixel
521,Dingle,PH,75.2,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
531,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
